variant,input,threads,score,time_sec,run
data_paral,mapb8_8b.txt,4,490,0.000981935,2
data_paral,mapb8_8b.txt,4,490,0.000894104,3
data_paral,mapb8_8b.txt,12,490,0.00148676,1
data_paral,mapb8_8b.txt,12,490,0.00152194,2
data_paral,mapb8_8b.txt,12,490,0.00150399,3
data_paral,mapb8_8b.txt,16,490,0.00176875,1
data_paral,mapb8_8b.txt,16,490,0.00180661,2
data_paral,mapb8_8b.txt,16,490,0.00177995,3
data_paral,mapb8_8b.txt,32,490,0.00284895,1
data_paral,mapb8_8b.txt,32,490,0.00285694,2
data_paral,mapb8_8b.txt,32,490,0.00279037,3
data_paral,mapb8_8b.txt,48,490,0.00401566,1
data_paral,mapb8_8b.txt,48,490,0.00385615,2
data_paral,mapb8_8b.txt,48,490,0.00379513,3
data_paral,mapb9_9a.txt,1,509,0.0611056,1
data_paral,mapb9_9a.txt,1,509,0.0614596,2
data_paral,mapb9_9a.txt,1,509,0.0610533,3
data_paral,mapb9_9a.txt,2,509,0.0634579,1
data_paral,mapb9_9a.txt,2,509,0.0696941,2
data_paral,mapb9_9a.txt,2,509,0.0686135,3
data_paral,mapb9_9a.txt,4,509,0.056762,1
data_paral,mapb9_9a.txt,4,509,0.0577578,2
data_paral,mapb9_9a.txt,4,509,0.0569957,3
data_paral,mapb9_9a.txt,12,509,0.0619539,1
data_paral,mapb9_9a.txt,12,509,0.0617622,2
data_paral,mapb9_9a.txt,12,509,0.0600866,3
data_paral,mapb9_9a.txt,16,509,0.0660882,1
data_paral,mapb9_9a.txt,16,509,0.0673012,2
data_paral,mapb9_9a.txt,16,509,0.0655843,3
data_paral,mapb9_9a.txt,32,509,0.0730677,1
data_paral,mapb9_9a.txt,32,509,0.0719725,2
data_paral,mapb9_9a.txt,32,509,0.0745765,3
data_paral,mapb9_9a.txt,48,509,0.0914956,1
data_paral,mapb9_9a.txt,48,509,0.0734996,2
data_paral,mapb9_9a.txt,48,509,0.0726364,3
data_paral,mapb9_9b.txt,1,439,0.394801,1
data_paral,mapb9_9b.txt,1,439,0.395587,2
data_paral,mapb9_9b.txt,1,439,0.396748,3
data_paral,mapb9_9b.txt,2,439,0.377265,1
data_paral,mapb9_9b.txt,2,439,0.378463,2
data_paral,mapb9_9b.txt,2,439,0.411466,3
data_paral,mapb9_9b.txt,4,439,0.342232,1
data_paral,mapb9_9b.txt,4,439,0.347546,2
